	Chr	Position	25bp	50bp	100bp	200bp	500bp	1kb	2kb	5kb	10kb	20kb	50kb	100kb	200kb	500kb	1Mb
SNP5079	9	14712177	0.12	0.196078	0.19802	0.263682	0.349301	0.355644	0.365817	0.368926	0.362264	0.366982	0.390112	0.380716	0.371868	0.385615	0.39074
SNP5080	9	14870197	0.32	0.352941	0.316832	0.368159	0.367265	0.341658	0.381809	0.391522	0.394361	0.39653	0.398472	0.396366	0.394778	0.385173	0.393258
SNP5081	9	15065651	0.32	0.352941	0.29703	0.308458	0.353293	0.355644	0.36032	0.357928	0.363464	0.360732	0.372953	0.380236	0.394753	0.397417	0.395166
SNP5082	9	15295604	0.28	0.372549	0.29703	0.293532	0.39521	0.41958	0.430285	0.446911	0.441456	0.434528	0.427671	0.417496	0.417138	0.404807	0.395763
SNP5083	9	15432934	0.36	0.372549	0.386139	0.348259	0.337325	0.336663	0.34033	0.372725	0.382862	0.40848	0.415672	0.405296	0.409453	0.403471	0.389938
SNP5084	9	15658512	0.32	0.431373	0.415842	0.427861	0.439122	0.415584	0.385307	0.370926	0.373863	0.380281	0.368773	0.379656	0.378713	0.378255	0.393702
SNP5085	9	15805580	0.36	0.333333	0.306931	0.318408	0.359281	0.351648	0.369315	0.367926	0.384362	0.373881	0.370333	0.357186	0.357023	0.373057	0.398648
SNP5086	9	16257297	0.44	0.431373	0.455446	0.487562	0.421158	0.408591	0.415292	0.446111	0.448155	0.447878	0.451651	0.437966	0.441868	0.428407	0.399611
SNP5087	9	16457087	0.32	0.27451	0.356436	0.348259	0.341317	0.404595	0.422789	0.395721	0.40006	0.39293	0.401772	0.395926	0.401743	0.408839	0.410783
SNP5088	9	16608680	0.4	0.313725	0.366337	0.432836	0.359281	0.385614	0.390805	0.395721	0.377962	0.384131	0.373913	0.372956	0.381028	0.392485	0.408658
SNP5089	9	16871915	0.56	0.627451	0.60396	0.60199	0.558882	0.552448	0.548226	0.519496	0.466653	0.438478	0.419332	0.415876	0.412978	0.396935	0.389365
SNP5090	9	17077552	0.48	0.568627	0.50495	0.452736	0.393214	0.393606	0.407796	0.418916	0.438156	0.40873	0.393272	0.382656	0.387548	0.390529	0.383984
SNP5091	9	17213178	0.44	0.333333	0.366337	0.38806	0.373253	0.378621	0.382309	0.403119	0.383362	0.389281	0.368753	0.365886	0.374753	0.375009	0.385632
SNP5092	9	17409708	0.28	0.254902	0.227723	0.238806	0.249501	0.276723	0.314343	0.384523	0.373463	0.363282	0.355133	0.361116	0.355223	0.373035	0.38479
SNP5093	9	17876883	0.32	0.372549	0.465347	0.437811	0.383234	0.380619	0.404798	0.413717	0.392461	0.388031	0.387512	0.398276	0.395658	0.386339	0.383024
SNP5094	9	18213380	0.48	0.470588	0.475248	0.422886	0.397206	0.401598	0.381809	0.361128	0.360764	0.354582	0.370793	0.374566	0.380193	0.378695	0.382924
SNP5095	9	18584401	0.28	0.372549	0.465347	0.452736	0.429142	0.441558	0.424788	0.408518	0.377362	0.362282	0.375412	0.376526	0.376123	0.385797	0.393074
SNP5096	9	18619874	0.4	0.45098	0.445545	0.412935	0.37525	0.377622	0.372814	0.379724	0.386261	0.383831	0.381232	0.376456	0.378408	0.387901	0.394959
SNP5097	9	18748213	0.44	0.470588	0.455446	0.457711	0.45509	0.460539	0.451774	0.435513	0.417758	0.40868	0.405952	0.409536	0.401738	0.400003	0.403788
SNP5098	9	18966954	0.32	0.333333	0.376238	0.412935	0.463074	0.471528	0.468766	0.436713	0.422158	0.426829	0.420892	0.426716	0.423823	0.424019	0.408396
SNP5099	9	19006738	0.24	0.27451	0.386139	0.41791	0.44511	0.435564	0.395302	0.392322	0.392161	0.432728	0.425731	0.426766	0.424398	0.425865	0.410683
SNP5100	9	19101541	0.52	0.509804	0.455446	0.447761	0.536926	0.471528	0.456772	0.493101	0.460354	0.435028	0.427971	0.424396	0.431723	0.419813	0.414023
SNP5101	9	19333490	0.52	0.411765	0.475248	0.432836	0.391218	0.364635	0.396802	0.386323	0.376562	0.358782	0.368653	0.373646	0.396098	0.419473	0.412205
SNP5102	9	19415956	0.36	0.392157	0.366337	0.378109	0.387226	0.382617	0.413293	0.413317	0.417958	0.435828	0.433971	0.426436	0.413548	0.412381	0.409546
SNP5103	9	19608749	0.44	0.490196	0.455446	0.482587	0.493014	0.471528	0.437781	0.432913	0.423558	0.416479	0.400312	0.402626	0.401538	0.403413	0.403707
SNP5104	9	19864519	0.44	0.392157	0.316832	0.298507	0.323353	0.330669	0.316342	0.346731	0.374463	0.368232	0.369313	0.383206	0.386473	0.388727	0.39892
SNP5105	9	20349588	0.44	0.313725	0.257426	0.278607	0.377246	0.384615	0.405797	0.39812	0.388661	0.386331	0.394172	0.393276	0.393093	0.385137	0.383268
SNP5106	9	20636146	0.52	0.529412	0.475248	0.437811	0.421158	0.366633	0.388806	0.394521	0.383762	0.367782	0.389452	0.383106	0.383473	0.370863	0.377673
SNP5107	9	20838966	0.44	0.431373	0.376238	0.323383	0.353293	0.380619	0.362819	0.338532	0.339866	0.345883	0.342533	0.353646	0.360668	0.371733	0.372217
SNP5108	9	20945163	0.24	0.313725	0.316832	0.313433	0.369261	0.394605	0.387306	0.379924	0.369663	0.373231	0.365833	0.370506	0.366383	0.369347	0.373422
SNP5109	9	21108711	0.28	0.27451	0.257426	0.293532	0.291417	0.323676	0.313343	0.338732	0.351965	0.345633	0.363833	0.370186	0.374938	0.372431	0.373956
SNP5110	9	21496033	0.24	0.313725	0.386139	0.41791	0.397206	0.380619	0.389305	0.377924	0.383662	0.39688	0.375972	0.380826	0.378098	0.377055	0.382236
SNP5111	9	21772200	0.36	0.27451	0.356436	0.358209	0.37525	0.404595	0.396802	0.375325	0.39626	0.378781	0.376672	0.391586	0.391698	0.388951	0.383493
SNP5112	9	21932183	0.48	0.45098	0.405941	0.422886	0.409182	0.426573	0.424288	0.39852	0.39826	0.40688	0.397672	0.404026	0.398638	0.391451	0.38222
SNP5113	9	22405330	0.24	0.254902	0.237624	0.268657	0.295409	0.308691	0.373813	0.358528	0.362264	0.368532	0.360653	0.374516	0.368338	0.367121	0.371317
SNP5114	9	22648561	0.2	0.27451	0.326733	0.373134	0.363273	0.387612	0.370315	0.373325	0.365563	0.351782	0.358613	0.361386	0.358193	0.360525	0.36156
SNP5115	9	23577776	0.36	0.392157	0.415842	0.393035	0.403194	0.438561	0.41929	0.391322	0.390061	0.39988	0.400352	0.401326	0.395828	0.385125	0.373447
SNP5116	9	23841845	0.12	0.215686	0.277228	0.248756	0.289421	0.354645	0.381309	0.358328	0.334967	0.349333	0.391472	0.377776	0.379213	0.379369	0.375924
SNP5117	9	24140656	0.28	0.294118	0.287129	0.283582	0.367265	0.376623	0.366317	0.374125	0.377862	0.374281	0.361393	0.360596	0.365553	0.368137	0.367671
SNP5118	9	25450649	0.36	0.313725	0.326733	0.288557	0.315369	0.30969	0.330335	0.333733	0.320468	0.336583	0.366173	0.354226	0.355303	0.354019	0.352678
SNP5119	9	25813142	0.24	0.196078	0.217822	0.323383	0.345309	0.36963	0.378311	0.392322	0.383762	0.376781	0.371573	0.363186	0.364003	0.363059	0.360729
SNP5120	9	26338589	0.28	0.372549	0.316832	0.328358	0.313373	0.302697	0.338831	0.361128	0.358864	0.361982	0.360273	0.360276	0.367133	0.368423	0.372999
SNP5121	9	26766966	0.52	0.392157	0.415842	0.422886	0.387226	0.394605	0.391804	0.382923	0.392461	0.39308	0.391192	0.383916	0.382548	0.384527	0.383787
SNP5122	9	26999620	0.28	0.254902	0.29703	0.308458	0.319361	0.335664	0.352824	0.361328	0.357564	0.353132	0.372933	0.375816	0.381368	0.389167	0.394438
SNP5123	9	27193050	0.2	0.196078	0.356436	0.373134	0.441118	0.480519	0.436782	0.423715	0.409159	0.39853	0.400072	0.402466	0.401113	0.400549	0.39557
SNP5124	9	27219619	0.16	0.254902	0.346535	0.348259	0.397206	0.413586	0.418291	0.458508	0.436656	0.419829	0.403212	0.399766	0.399153	0.401597	0.39621
SNP5125	9	27317556	0.32	0.372549	0.346535	0.333333	0.341317	0.358641	0.384308	0.394721	0.394161	0.40308	0.416052	0.413146	0.411228	0.406277	0.396771
SNP5126	9	27420434	0.28	0.294118	0.287129	0.288557	0.313373	0.351648	0.395302	0.387522	0.39776	0.411029	0.405632	0.412846	0.418708	0.404013	0.396103
SNP5127	9	27726443	0.4	0.431373	0.415842	0.462687	0.431138	0.421578	0.418791	0.405919	0.39786	0.39718	0.397032	0.397346	0.394548	0.387803	0.389202
SNP5128	9	28102881	0.36	0.470588	0.435644	0.393035	0.363273	0.341658	0.370815	0.365527	0.375362	0.375931	0.377132	0.375816	0.372503	0.368349	0.372002
SNP5129	9	28536513	0.52	0.470588	0.445545	0.40796	0.341317	0.335664	0.355822	0.330134	0.346165	0.349083	0.356973	0.355826	0.354543	0.356141	0.358699
SNP5130	9	28995334	0.44	0.372549	0.405941	0.40796	0.403194	0.390609	0.385307	0.385323	0.383162	0.363282	0.361813	0.352856	0.349948	0.353741	0.354485
SNP5131	9	29714079	0.28	0.313725	0.277228	0.333333	0.281437	0.305694	0.338331	0.341732	0.354065	0.354382	0.356893	0.354646	0.355383	0.348467	0.350737
SNP5132	9	30335783	0.4	0.313725	0.287129	0.278607	0.277445	0.274725	0.305347	0.322336	0.348565	0.343083	0.351733	0.349217	0.345073	0.347079	0.344644
SNP5133	9	31055815	0.32	0.352941	0.356436	0.343284	0.299401	0.342657	0.332334	0.344731	0.365763	0.370331	0.352233	0.353346	0.357528	0.351777	0.350102
SNP5134	9	31743264	0.44	0.45098	0.405941	0.41791	0.427146	0.381618	0.357821	0.35213	0.358864	0.357882	0.355233	0.361356	0.361143	0.362175	0.36238
SNP5135	9	32237099	0.28	0.215686	0.19802	0.288557	0.295409	0.296703	0.324838	0.354329	0.360364	0.375331	0.383572	0.379866	0.380088	0.385311	0.38629
SNP5136	9	32485277	0.4	0.333333	0.287129	0.363184	0.391218	0.417582	0.44028	0.439112	0.409359	0.39388	0.398232	0.400636	0.406298	0.401867	0.397547
SNP5137	9	32788581	0.36	0.27451	0.306931	0.343284	0.355289	0.338661	0.361319	0.371326	0.392861	0.424879	0.396292	0.409566	0.416513	0.414675	0.419661
SNP5138	9	33137377	0.72	0.588235	0.564356	0.532338	0.536926	0.544456	0.528236	0.528094	0.50145	0.487676	0.462911	0.460745	0.450738	0.440327	0.437192
SNP5139	9	33498059	0.12	0.176471	0.237624	0.283582	0.341317	0.367632	0.31984	0.358528	0.381162	0.39128	0.410172	0.433686	0.453388	0.438431	0.438079
SNP5140	9	33692089	0.28	0.333333	0.316832	0.353234	0.37525	0.378621	0.378811	0.385323	0.39816	0.39788	0.384972	0.397906	0.412848	0.426213	0.440979
SNP5141	9	33970856	0.56	0.588235	0.534653	0.472637	0.477046	0.436563	0.412294	0.394721	0.39856	0.40038	0.402052	0.425916	0.432728	0.437927	0.43356
SNP5142	9	34009648	0.44	0.411765	0.415842	0.437811	0.403194	0.462537	0.443278	0.417117	0.425557	0.429129	0.420172	0.429646	0.443218	0.439919	0.43569
SNP5143	9	34231780	0.68	0.745098	0.564356	0.577114	0.469062	0.503497	0.456772	0.438312	0.420458	0.419179	0.434671	0.431796	0.438013	0.449873	0.459328
SNP5144	9	34493377	0.56	0.54902	0.524752	0.457711	0.451098	0.463536	0.474763	0.494101	0.489451	0.471726	0.47685	0.474355	0.493698	0.480713	0.458728
SNP5145	9	34853111	0.28	0.372549	0.356436	0.393035	0.38523	0.404595	0.405797	0.417516	0.419358	0.40458	0.415672	0.419636	0.413428	0.454293	0.454162
SNP5146	9	35021062	0.52	0.529412	0.485149	0.467662	0.461078	0.411588	0.429285	0.444911	0.423158	0.419629	0.450771	0.469495	0.471313	0.434853	0.445867
SNP5147	9	35135426	0.6	0.54902	0.534653	0.457711	0.43513	0.456543	0.447776	0.432513	0.441256	0.432428	0.445891	0.462055	0.449353	0.437003	0.439193
SNP5148	9	35361072	0.36	0.313725	0.336634	0.368159	0.407186	0.417582	0.397301	0.419516	0.415858	0.423579	0.444771	0.439256	0.418108	0.426499	0.450201
SNP5149	9	35438155	0.52	0.470588	0.50495	0.482587	0.46507	0.42957	0.424788	0.40092	0.389161	0.386631	0.396872	0.417756	0.425378	0.434147	0.451348
SNP5150	9	35643360	0.64	0.647059	0.584158	0.562189	0.542914	0.512488	0.489255	0.470706	0.484252	0.479276	0.47997	0.499405	0.493318	0.463033	0.440028
SNP5151	9	35787530	0.64	0.54902	0.514851	0.532338	0.477046	0.448551	0.462269	0.445511	0.481952	0.470526	0.460951	0.481495	0.481648	0.466539	0.44758
SNP5152	9	35889197	0.64	0.568627	0.465347	0.437811	0.399202	0.368631	0.343328	0.379124	0.384562	0.382131	0.430791	0.447116	0.452523	0.452699	0.447529
SNP5153	9	35940807	0.32	0.45098	0.445545	0.422886	0.461078	0.426573	0.410295	0.435313	0.439556	0.422679	0.431291	0.431076	0.432428	0.450087	0.447194
SNP5154	9	36197683	0.48	0.45098	0.39604	0.353234	0.351297	0.370629	0.43928	0.443511	0.427457	0.449478	0.454191	0.456435	0.456163	0.428129	0.440291
SNP5155	9	36256360	0.52	0.54902	0.574257	0.527363	0.508982	0.466533	0.44028	0.504699	0.471953	0.454827	0.436131	0.445206	0.446378	0.432141	0.437406
SNP5156	9	36482856	0.32	0.431373	0.49505	0.477612	0.467066	0.508492	0.467266	0.441112	0.482752	0.475926	0.450771	0.443066	0.439248	0.430625	0.446132
SNP5157	9	36693747	0.36	0.372549	0.386139	0.422886	0.467066	0.46953	0.422789	0.407918	0.415158	0.410329	0.403832	0.422056	0.440298	0.459199	0.445259
SNP5158	9	37066192	0.52	0.529412	0.435644	0.432836	0.449102	0.451548	0.412294	0.422715	0.434457	0.429029	0.424572	0.446046	0.439613	0.433553	0.440851
SNP5159	9	37367936	0.56	0.45098	0.49505	0.522388	0.459082	0.465534	0.454773	0.473105	0.484752	0.462777	0.452471	0.432816	0.428378	0.416525	0.431286
SNP5160	9	37518766	0.6	0.647059	0.643564	0.587065	0.53493	0.541459	0.54073	0.4993	0.49935	0.496325	0.48239	0.463345	0.456353	0.438649	0.432322
SNP5161	9	37719852	0.28	0.333333	0.366337	0.368159	0.423154	0.433566	0.469265	0.422515	0.437556	0.434528	0.438131	0.437346	0.434998	0.443683	0.443674
SNP5162	9	37756761	0.16	0.235294	0.237624	0.348259	0.431138	0.420579	0.405297	0.416917	0.455854	0.446278	0.451431	0.444306	0.422823	0.447407	0.448094
SNP5163	9	37951130	0.4	0.313725	0.415842	0.497512	0.493014	0.508492	0.527736	0.536293	0.538746	0.537173	0.51379	0.506545	0.482533	0.458033	0.456221
SNP5164	9	38039273	0.2	0.254902	0.277228	0.353234	0.441118	0.5005	0.528236	0.527694	0.523648	0.503625	0.49765	0.501295	0.491338	0.460093	0.45121
SNP5165	9	38388996	0.52	0.529412	0.50495	0.512438	0.467066	0.446553	0.445277	0.458508	0.488051	0.493525	0.47975	0.480085	0.459493	0.443803	0.448774
SNP5166	9	38415708	0.6	0.568627	0.554455	0.562189	0.556886	0.545455	0.494753	0.4985	0.492651	0.492775	0.48525	0.463605	0.450628	0.442135	0.448157
SNP5167	9	38780565	0.4	0.411765	0.39604	0.427861	0.409182	0.447552	0.46027	0.407518	0.383062	0.377681	0.388312	0.402436	0.414193	0.417609	0.416455
SNP5168	9	68635876	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.405762	0.388535	0.392103	0.384647
SNP5169	9	68838061	0.56	0.509804	0.49505	0.457711	0.449102	0.422577	0.438494	0.454814	0.448522	0.442128	0.411574	0.410349	0.394663	0.391602	0.391439
SNP5170	9	68906444	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.425091	0.391611	0.390784
SNP5171	9	69240444	0.08	0.235294	0.237624	0.273632	0.361277	0.34965	0.328336	0.323135	0.334467	0.344633	0.362033	0.377965	0.392944	0.393284	0.392722
SNP5172	9	69479104	0.52	0.45098	0.39604	0.462687	0.477046	0.506494	0.497251	0.511298	0.509849	0.469577	0.448431	0.414946	0.387063	0.386719	0.389063
SNP5173	9	69784138	0.32	0.313725	0.277228	0.338308	0.42515	0.471528	0.411294	0.488502	0.482452	0.439678	0.397232	0.384866	0.387013	0.384427	0.387064
SNP5174	9	70374087	0.48	0.470588	0.465347	0.477612	0.49501	0.472527	0.415292	0.403919	0.393961	0.376931	0.376692	0.402566	0.391895	0.375619	0.384978
SNP5175	9	70529642	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.342661	0.351853	0.350858	0.386588	0.390491
SNP5176	9	70661694	0.6	0.607843	0.554455	0.532338	0.48503	0.509491	0.538731	0.520896	0.49545	0.488426	0.459951	0.407316	0.387242	0.377399	0.391741
SNP5177	9	70705951	0.44	0.313725	0.277228	0.263682	0.337325	0.350649	0.370815	0.388522	0.390561	0.381831	0.388052	0.413265	0.405673	0.386405	0.393655
SNP5178	9	71331835	0.28	0.313725	0.376238	0.38806	0.401198	0.383616	0.385307	0.415317	0.416958	0.39443	0.405032	0.400486	0.402023	0.404857	0.412493
SNP5179	9	71616663	0.4	0.470588	0.485149	0.482587	0.453094	0.474525	0.465267	0.454509	0.448755	0.438628	0.443311	0.438666	0.429133	0.421153	0.420941
SNP5180	9	72025585	0.52	0.568627	0.49505	0.472637	0.461078	0.421578	0.458771	0.4985	0.470353	0.458377	0.464111	0.444656	0.432568	0.419997	0.413912
SNP5181	9	72413171	0.44	0.333333	0.306931	0.318408	0.289421	0.333666	0.351824	0.368526	0.370363	0.373031	0.382472	0.388246	0.378913	0.391719	0.401129
SNP5182	9	72637551	0.44	0.431373	0.425743	0.378109	0.341317	0.412587	0.361319	0.39872	0.409059	0.414679	0.418972	0.412236	0.407588	0.397893	0.397126
SNP5183	9	72774833	0.44	0.607843	0.49505	0.512438	0.47505	0.445554	0.412794	0.371326	0.391361	0.388181	0.395332	0.400216	0.399663	0.396233	0.399564
SNP5184	9	73930499	0.36	0.352941	0.277228	0.273632	0.295409	0.323676	0.364818	0.355529	0.353065	0.347983	0.353313	0.360876	0.366278	0.371125	0.379412
SNP5185	9	74487892	0.28	0.254902	0.237624	0.223881	0.249501	0.280719	0.325837	0.34993	0.368763	0.366782	0.372673	0.388566	0.392503	0.402147	0.397829
SNP5186	9	74699610	0.44	0.333333	0.306931	0.308458	0.277445	0.360639	0.387306	0.371326	0.360164	0.381831	0.395172	0.412566	0.417578	0.404997	0.40516
SNP5187	9	74701778	0.08	0.078431	0.09901	0.223881	0.305389	0.347652	0.338331	0.354329	0.384462	0.380231	0.397952	0.411296	0.417383	0.405099	0.405296
SNP5188	9	75052205	0.36	0.372549	0.39604	0.40796	0.42515	0.402597	0.418791	0.39912	0.413459	0.40563	0.403392	0.399736	0.406573	0.405079	0.40087
SNP5189	9	75777616	0.36	0.372549	0.326733	0.288557	0.307385	0.335664	0.363818	0.339132	0.346165	0.351232	0.356553	0.353136	0.358668	0.357605	0.361463
SNP5190	9	75954677	0.44	0.411765	0.306931	0.298507	0.315369	0.391608	0.387306	0.358328	0.360864	0.350432	0.345293	0.353696	0.352698	0.352243	0.35607
SNP5191	9	76276843	0.52	0.568627	0.455446	0.427861	0.411178	0.385614	0.342329	0.361728	0.340766	0.339783	0.344173	0.343567	0.347893	0.348529	0.352402
SNP5192	9	76519418	0.24	0.254902	0.346535	0.373134	0.347305	0.351648	0.36032	0.340132	0.350365	0.355982	0.349433	0.344657	0.349488	0.352569	0.353841
SNP5193	9	77021897	0.36	0.392157	0.356436	0.378109	0.343313	0.311688	0.347826	0.354329	0.342966	0.356132	0.367113	0.361236	0.363598	0.366811	0.372152
SNP5194	9	77156665	0.36	0.411765	0.376238	0.378109	0.361277	0.330669	0.353323	0.361928	0.364364	0.368982	0.365473	0.370916	0.369773	0.373009	0.378084
SNP5195	9	77672077	0.24	0.313725	0.346535	0.378109	0.335329	0.360639	0.4003	0.415517	0.409459	0.40743	0.405552	0.411556	0.398358	0.400359	0.394715
SNP5196	9	77876264	0.6	0.54902	0.50495	0.557214	0.512974	0.486513	0.475262	0.469706	0.438956	0.420929	0.402472	0.397626	0.394613	0.396685	0.39559
SNP5197	9	78489868	0.6	0.666667	0.594059	0.462687	0.41517	0.380619	0.373313	0.391522	0.382462	0.39283	0.407852	0.401656	0.394643	0.387823	0.394788
SNP5198	9	79197588	0.68	0.647059	0.643564	0.552239	0.491018	0.48951	0.493753	0.435713	0.435756	0.436428	0.425111	0.413756	0.413673	0.416341	0.415326
SNP5199	9	79575452	0.48	0.431373	0.425743	0.363184	0.343313	0.383616	0.401799	0.403919	0.429357	0.429729	0.411512	0.415546	0.426063	0.411507	0.402558
SNP5200	9	79853911	0.28	0.352941	0.287129	0.298507	0.325349	0.335664	0.307846	0.355529	0.341366	0.351032	0.355013	0.359846	0.368468	0.390501	0.402355
SNP5201	9	80474078	0.48	0.392157	0.415842	0.393035	0.37525	0.395604	0.402799	0.426515	0.423458	0.417379	0.407432	0.396166	0.392778	0.400053	0.403771
SNP5202	9	81065781	0.44	0.45098	0.445545	0.477612	0.44511	0.448551	0.445277	0.438312	0.430757	0.429329	0.415592	0.407916	0.413498	0.407157	0.39815
SNP5203	9	81603422	0.44	0.431373	0.376238	0.383085	0.329341	0.317682	0.324338	0.332733	0.350465	0.356832	0.362473	0.377476	0.373958	0.378957	0.38402
SNP5204	9	82176641	0.28	0.27451	0.306931	0.303483	0.353293	0.364635	0.327336	0.365727	0.385061	0.416929	0.406192	0.398676	0.389678	0.387677	0.388249
SNP5205	9	82727986	0.4	0.352941	0.326733	0.323383	0.353293	0.385614	0.362319	0.373925	0.393961	0.388331	0.379052	0.384296	0.375893	0.380171	0.379955
SNP5206	9	82994120	0.36	0.392157	0.39604	0.447761	0.443114	0.417582	0.407296	0.39752	0.382062	0.375631	0.382392	0.378176	0.370993	0.368935	0.370376
SNP5207	9	83248052	0.4	0.470588	0.415842	0.333333	0.331337	0.376623	0.357821	0.362527	0.366363	0.359982	0.361393	0.366846	0.364528	0.362093	0.367463
SNP5208	9	83586125	0.4	0.431373	0.425743	0.412935	0.457086	0.470529	0.454773	0.409718	0.39666	0.39108	0.371373	0.375196	0.364868	0.367725	0.370396
SNP5209	9	83628848	0.4	0.490196	0.49505	0.447761	0.453094	0.461538	0.441779	0.441512	0.425757	0.388831	0.366813	0.365986	0.369973	0.367465	0.371758
SNP5210	9	83850856	0.28	0.294118	0.306931	0.268657	0.301397	0.312687	0.325837	0.326935	0.323868	0.349683	0.367933	0.374806	0.378658	0.378363	0.386657
SNP5211	9	84544438	0.48	0.45098	0.435644	0.432836	0.411178	0.431568	0.442279	0.44771	0.438256	0.425979	0.422552	0.423876	0.415763	0.414925	0.405489
SNP5212	9	84793438	0.32	0.27451	0.287129	0.283582	0.283433	0.28971	0.315342	0.34953	0.364764	0.372231	0.378952	0.386386	0.385068	0.388849	0.397629
SNP5213	9	85112903	0.44	0.411765	0.336634	0.338308	0.301397	0.283716	0.32084	0.386323	0.356264	0.368482	0.371733	0.371416	0.387173	0.382211	0.385185
SNP5214	9	85471971	0.16	0.254902	0.227723	0.228856	0.269461	0.266733	0.277361	0.308938	0.342566	0.350632	0.361033	0.375566	0.385108	0.388475	0.390578
SNP5215	9	85503804	0.52	0.568627	0.534653	0.497512	0.431138	0.448551	0.445777	0.441112	0.434057	0.420979	0.397232	0.385546	0.385128	0.388139	0.39169
SNP5216	9	85997842	0.44	0.411765	0.405941	0.422886	0.461078	0.437562	0.402799	0.408318	0.388361	0.40888	0.407552	0.414546	0.417783	0.409931	0.401929
SNP5217	9	86300798	0.36	0.196078	0.267327	0.288557	0.299401	0.35964	0.362819	0.378524	0.385361	0.384231	0.389472	0.400776	0.400338	0.401761	0.406123
SNP5218	9	86828087	0.44	0.509804	0.485149	0.39801	0.429142	0.438561	0.434783	0.426715	0.416058	0.431828	0.421652	0.423956	0.415153	0.415189	0.408316
SNP5219	9	87069381	0.6	0.588235	0.544554	0.467662	0.469062	0.45954	0.455272	0.44791	0.443456	0.435428	0.424972	0.425526	0.423663	0.417595	0.411339
SNP5220	9	87561801	0.52	0.45098	0.455446	0.432836	0.437126	0.467532	0.474763	0.468706	0.440956	0.439928	0.422852	0.412356	0.414263	0.406795	0.408747
SNP5221	9	87666757	0.44	0.470588	0.514851	0.472637	0.46507	0.430569	0.43928	0.426115	0.40136	0.40373	0.412112	0.411356	0.408653	0.409839	0.410109
SNP5222	9	87857428	0.32	0.313725	0.326733	0.343284	0.411178	0.394605	0.389305	0.374925	0.388261	0.39358	0.410352	0.412046	0.409913	0.411135	0.403561
SNP5223	9	88165718	0.48	0.490196	0.475248	0.492537	0.463074	0.447552	0.424788	0.39892	0.386361	0.374531	0.404732	0.403626	0.396928	0.396123	0.399449
SNP5224	9	88503617	0.6	0.509804	0.485149	0.467662	0.399202	0.378621	0.384308	0.370526	0.40206	0.417979	0.412432	0.405156	0.395918	0.399909	0.404705
SNP5225	9	88904454	0.28	0.294118	0.376238	0.393035	0.323353	0.30969	0.324838	0.357129	0.380062	0.410579	0.399052	0.401676	0.405823	0.415849	0.410864
SNP5226	9	89381258	0.56	0.568627	0.465347	0.512438	0.528942	0.523477	0.508746	0.478904	0.424158	0.40943	0.412152	0.422336	0.413848	0.412309	0.406686
SNP5227	9	89738903	0.16	0.294118	0.306931	0.378109	0.353293	0.345654	0.363818	0.405519	0.413259	0.40338	0.401912	0.403486	0.400373	0.406101	0.415936
SNP5228	9	90250018	0.56	0.607843	0.564356	0.537313	0.556886	0.56044	0.545727	0.482703	0.449455	0.448828	0.458371	0.462225	0.451173	0.444745	0.437715
SNP5229	9	90743324	0.56	0.607843	0.663366	0.641791	0.610778	0.615385	0.564218	0.546891	0.531047	0.508175	0.451411	0.438756	0.439503	0.446813	0.445175
SNP5230	9	90783475	0.16	0.215686	0.217822	0.248756	0.359281	0.337662	0.357321	0.380724	0.39976	0.414179	0.411352	0.431176	0.439298	0.447333	0.442701
SNP5231	9	91816294	0.64	0.588235	0.564356	0.542289	0.528942	0.47952	0.442279	0.410918	0.40296	0.40198	0.434571	0.424526	0.415558	0.445801	0.446853
SNP5232	9	92088794	0.2	0.254902	0.376238	0.452736	0.516966	0.5005	0.482259	0.504499	0.465453	0.494425	0.49573	0.500955	0.492958	0.471341	0.459706
SNP5233	9	92180851	0.56	0.45098	0.405941	0.38806	0.40519	0.377622	0.417791	0.439912	0.426957	0.432128	0.434811	0.463995	0.478753	0.483971	0.460769
SNP5234	9	92319078	0.36	0.411765	0.356436	0.328358	0.337325	0.387612	0.398301	0.415317	0.453955	0.474626	0.475385	0.489514	0.494439	0.479913	0.466889
SNP5235	9	92559059	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.472996	0.469887	0.462686	0.451989
SNP5236	9	92604448	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.469371	0.454672	0.446046
SNP5237	9	92954698	0.44	0.470588	0.554455	0.557214	0.542914	0.487512	0.436782	0.404119	0.389661	0.375381	0.404252	0.408466	0.407903	0.410961	0.414849
SNP5238	9	93010399	0.32	0.215686	0.267327	0.243781	0.291417	0.282717	0.294353	0.366927	0.364064	0.382331	0.409772	0.406176	0.401713	0.407267	0.41149
SNP5239	9	93404947	0.6	0.568627	0.613861	0.572139	0.538922	0.543457	0.45927	0.410318	0.414759	0.40763	0.397432	0.404446	0.405668	0.411709	0.41561
SNP5240	9	93594509	0.28	0.27451	0.326733	0.353234	0.349301	0.383616	0.414793	0.441912	0.447755	0.440628	0.448991	0.431836	0.439753	0.432065	0.417726
SNP5241	9	93945192	0.32	0.27451	0.326733	0.427861	0.413174	0.440559	0.449775	0.486303	0.512949	0.475176	0.455871	0.440586	0.426763	0.425833	0.423761
